Palabra,Descripción
Ventanilla,"Las manos dibujan un cuadrado, luego, la mano se desplaza hacia delante en curva."
Vivir,Las manos se deslizan por el pecho hacia arriba.
Votar,La mano se introduce en el espacio que deja la mano contraria.
Cuánto,Las manos empiezan en puño y los dedos se extienden uno por uno. La boca está en forma de beso.
¿dónde?,Las manos se mueven de adentro hacia fuera simultáneamente varias veces. La boca está en forma de beso abierto.
¿para qué?,"Las manos bajan dos veces. El ceño se frunce, los dientes muerden el labio inferior."
¿qué dice?,La mano toca el mentón dos veces. Se ven los dientes juntos.
¿qué hora es?,El dedo toca dos veces la muñeca de la mano contraria.
¿qué?,El índice se desplaza hacia abajo tocando la palma de la mano contraria. La boca está semiabierta.
Lunes,Mano con L toca pecho
Martes,Mano con M toca pecho
Miércoles,Mano con X toca pecho
Jueves,Mano con J toca pecho
Viernes,Mano con V toca pecho
Sábado,Mano con S toca pecho
Domingo,Mano con D toca pecho
Enero,Mano con índice toca sien
Febrero,Mano con índice extendido toca pecho dos veces
Marzo,Mano con M toca pecho y se desplaza en curva
Abril,Mano con A toca hombro
Mayo (Costa),Mano se mueve en zigzag horizontal
Mayo (Sierra),Mano toca pecho y se desplaza en curva
Junio,Mano con J traza círculo frente al pecho
Julio,Mano con Y se mueve en zigzag horizontal
Agosto,Mano abierta se desplaza desde pecho hacia afuera
Septiembre,Mano con S gira dos veces frente al pecho
Octubre (Costa),Mano dibuja círculo frente al pecho
Octubre (Sierra),Índice toca sien y se desplaza hacia abajo
Noviembre (Costa),Mano se mueve en zigzag horizontal
Noviembre (Sierra),Mano toca hombro y sube en curva
Diciembre,Mano con D toca frente y baja en curva
uno,Índice levantado
dos,Índice y medio levantados
tres,"Índice, medio y anular levantados"
cuatro,Cuatro dedos levantados
cinco,Mano abierta
seis,Pulgar y meñique extendidos
siete,"Pulgar, índice y medio extendidos"
ocho,"Pulgar e índice forman O, otros dedos extendidos"
nueve,"Índice doblado, otros extendidos"
diez,Manos cruzadas
once,Mano con O se mueve hacia adelante
doce,Mano con V se desplaza en arco desde centro del pecho
a,"Puño cerrado, pulgar hacia arriba"
b,"Mano abierta, palma hacia adelante"
c,Mano forma C
ch,"Mano forma C, luego H (gesto compuesto)"
d,"Índice levantado, pulgar toca medio"
e,"Dedos doblados, pulgar sobre índice"
f,"Índice y pulgar forman círculo, otros extendidos"
g,"Índice y medio extendidos, forman ángulo"
h,Índice y medio extendidos paralelos
i,Meñique levantado
j,"Meñique levantado, traza J en el aire"
k,"Índice y medio levantados, pulgar entre ellos"
l,"Índice levantado, pulgar extendido (forma L)"
ll,"Mano en L doble, movimiento vibratorio"
m,"Índice, medio y anular sobre pulgar"
n,Índice y medio sobre pulgar
ñ,"Como N, pero con movimiento ondulado"
o,Dedos forman círculo
p,"Como K, pero palma hacia abajo"
q,"Como G, pero pulgar doblado"
r,Índice y medio cruzados
rr,"Como R, con movimiento vibratorio"
s,Puño cerrado
t,Índice entre pulgar y medio
u,"Índice y medio juntos, extendidos"
v,Índice y medio separados (V)
w,"Índice, medio y anular separados"
x,Índice doblado
y,Meñique y pulgar extendidos
z,"Índice levantado, traza Z en el aire"
